Company,Car_name,Model_year,History,Kilometers,Registered in,Owner,Transmission,Registration,State,Fuel_Type,Mileage,Fuel_capacity,Seating_capacity,City,Price
Hyundai,i20 ASTA 1.4 CRDI,2012,Non-Accidental,110457,12-Mar,2nd Owner,MANUAL,MH-04,MH,Diesel,21.9,45,5,Pune,360449
Ford,Ecosport 1.5TITANIUM TDCI,2021,Non-Accidental,46822,21-Jan,1st Owner,MANUAL,MH-11,MH,Diesel,21.7,52,5,Pune,948399
Skoda,Rapid 1.6 TDI MT AMBITION,2012,Non-Accidental,51163,12-Mar,1st Owner,MANUAL,MH-02,MH,Diesel,null,null,null,Pune,337399
Maruti,Baleno DELTA 1.2 K12,2017,Non-Accidental,43997,17-Jan,1st Owner,MANUAL,MH-12,MH,Petrol,21.4,37,5,Pune,566999
Maruti,Ciaz DELTA 1.4 VVT,2017,Non-Accidental,31340,17-Apr,1st Owner,MANUAL,MH-01,MH,Petrol,20.7,43,5,Pune,570499
Renault,Duster RXZ AMT 110 PS,2018,Non-Accidental,34176,18-Oct,1st Owner,AUTOMATIC,MH-12,MH,Diesel,19.6,50,5,Pune,983799
Maruti,Dzire VXI,2018,Non-Accidental,30850,18-Mar,1st Owner,MANUAL,MH-06,MH,Petrol,21.2,37,5,Pune,629899
Maruti,Celerio ZXI AMT,2017,Non-Accidental,53491,17-Feb,1st Owner,AUTOMATIC,MH-05,MH,Petrol,23.1,35,5,Pune,439499
Skoda,Rapid 1.5 TDI MT AMBITION,2019,Non-Accidental,46560,19-Dec,1st Owner,MANUAL,MH-14,MH,Diesel,null,null,null,Pune,836999
Maruti,Vitara Brezza ZXI,2020,Non-Accidental,27742,20-Jul,1st Owner,MANUAL,MH-12,MH,Petrol,17,48,5,Pune,852599
Hyundai,Elite i20 SPORTZ 1.2,2014,Non-Accidental,42479,14-Oct,2nd Owner,MANUAL,MH-03,MH,Petrol,18.6,45,5,Pune,472899
Hyundai,Elite i20 1.2 SPORTS PLUS VTVT,2019,Non-Accidental,37340,19-Apr,1st Owner,MANUAL,MH-11,MH,Petrol,19.8,40,5,Pune,688199
Maruti,Ciaz ZXI,2014,Non-Accidental,93588,N/A,1st Owner,MANUAL,MH-02,MH,Petrol,20.7,43,5,Pune,475599
Hyundai,Verna FLUIDIC 1.6 SX VTVT,2013,Non-Accidental,85263,13-Apr,2nd Owner,MANUAL,MH-03,MH,Petrol,17,43,5,Pune,436399
Toyota,URBAN CRUISER PREMIUM MT,2021,Non-Accidental,16956,21-Jan,1st Owner,NA,MH-14,MH,Petrol,17,48,5,Pune,956699
Ford,Ecosport 1.5AMBIENTE TI VCT,2014,Non-Accidental,85905,14-Mar,1st Owner,MANUAL,MH-12,MH,Petrol,15.8,52,5,Pune,476899
Volkswagen,Vento HIGHLINE PETROL,2014,Non-Accidental,49479,14-Oct,2nd Owner,MANUAL,MH-31,MH,Petrol,14.4,55,5,Pune,486599
Maruti,Ciaz ZXI,2016,Non-Accidental,32746,16-Sep,2nd Owner,MANUAL,MH-12,MH,Petrol,20.7,43,5,Pune,618599
Maruti,Celerio VXI CNG OPT,2020,Non-Accidental,50486,20-Sep,1st Owner,MANUAL,MH-12,MH,Petrol + CNG,30.5,60,5,Pune,645199
Hyundai,Verna FLUIDIC 1.4 VTVT,2014,Non-Accidental,50283,14-Apr,1st Owner,MANUAL,MH-50,MH,Petrol,null,null,null,Pune,517999
Maruti,Swift VXI AMT,2019,Non-Accidental,8867,19-Feb,1st Owner,AUTOMATIC,MH-14,MH,Petrol,22,37,5,Pune,735699
Maruti,Swift VDI AMT,2018,Non-Accidental,67283,18-Mar,1st Owner,AUTOMATIC,MH-04,MH,Diesel,28.4,37,5,Pune,729699
Maruti,Dzire VXI,2018,Non-Accidental,52965,18-Mar,2nd Owner,MANUAL,MH-46,MH,Petrol,21.2,37,5,Pune,562299
Maruti,Alto K10 VXI,2011,Non-Accidental,69584,11-Jul,2nd Owner,MANUAL,MH-05,MH,Petrol,20.2,35,5,Pune,193299
Maruti,Swift ZXI,2013,Non-Accidental,87348,13-Feb,1st Owner,MANUAL,MH-12,MH,Petrol,18.6,42,5,Pune,442699
Renault,Kwid RXT,2016,Non-Accidental,32563,16-Mar,2nd Owner,MANUAL,MH-14,MH,Petrol,25,28,5,Pune,307199
Volkswagen,Polo GT TSI 1.2 PETROL AT,2015,Non-Accidental,76554,15-Dec,1st Owner,AUTOMATIC,MH-12,MH,Petrol,17.2,45,5,Pune,615499
Mahindra,XUV500 W6 4X2,2016,Non-Accidental,77350,16-Mar,2nd Owner,MANUAL,MH-14,MH,Diesel,null,70,4585,Pune,876199
Hyundai,i10 MAGNA 1.1 IRDE2,2016,Non-Accidental,13687,16-Dec,1st Owner,MANUAL,MH-03,MH,Petrol,19.8,35,5,Pune,387499
Hyundai,Grand i10 SPORTZ 1.2 KAPPA VTVT,2017,Non-Accidental,79029,17-Jul,1st Owner,MANUAL,MH-12,MH,Petrol,19.8,43,5,Pune,448699
Maruti,Alto 800 LXI,2013,Non-Accidental,23743,13-Jan,1st Owner,MANUAL,MH-43,MH,Petrol,22.7,35,5,Pune,237899
Hyundai,i20 SPORTZ 1.4 CRDI,2012,Non-Accidental,66950,12-Jul,2nd Owner,MANUAL,MH-14,MH,Diesel,14.9,45,5,Pune,417899
Volkswagen,Polo HIGHLINE1.2L PETROL,2015,Non-Accidental,28209,15-Aug,1st Owner,MANUAL,MH-47,MH,Petrol,16.5,45,5,Pune,553099
Maruti,Alto 800 LXI,2017,Non-Accidental,18807,17-Nov,1st Owner,MANUAL,MH-02,MH,Petrol,24.7,35,5,Pune,285499
Maruti,Ertiga ZXI SMART HYBRID AT,2019,Non-Accidental,30175,19-Apr,1st Owner,AUTOMATIC,MH-14,MH,Petrol,20,45,7,Pune,1100599
Maruti,Alto K10 VXI,2012,Non-Accidental,34402,12-May,3rd Owner,MANUAL,MH-12,MH,Petrol,20.2,35,5,Pune,217399
Volkswagen,Polo COMFORTLINE 1.2L PETROL,2016,Non-Accidental,52631,16-Oct,1st Owner,MANUAL,MH-12,MH,Petrol,16.5,45,5,Pune,467999
Maruti,Swift VDI,2020,Non-Accidental,33357,20-Jan,2nd Owner,MANUAL,MH-14,MH,Diesel,28.4,37,5,Pune,707999
Hyundai,Elite i20 1.2 SPORTS PLUS VTVT,2019,Non-Accidental,32623,N/A,1st Owner,MANUAL,MH-14,MH,Petrol,19.8,40,5,Pune,648499
Nissan,MAGNITE XL Turbo CVT,2021,Non-Accidental,16276,21-Feb,1st Owner,NA,MH-05,MH,Petrol,17.7,40,5,Pune,841499
Maruti,Ertiga VXI CNG,2020,Non-Accidental,30132,20-Mar,1st Owner,MANUAL,MH-14,MH,Petrol + CNG,20.5,37,5,Pune,1109399
Maruti,Wagon R 1.0 VXI,2011,Non-Accidental,41065,11-Sep,1st Owner,MANUAL,MH-03,MH,Petrol,15,35,5,Pune,272399
Toyota,YARIS J MT,2019,Non-Accidental,49120,19-Jan,1st Owner,MANUAL,MH-01,MH,Petrol,17.1,42,5,Pune,739499
Toyota,YARIS VX CVT,2018,Non-Accidental,52933,18-Sep,1st Owner,AUTOMATIC,MH-12,MH,Petrol,17.8,42,5,Pune,921099
Maruti,S Cross ALPHA SHVS,2018,Non-Accidental,72636,18-Sep,1st Owner,MANUAL,MH-12,MH,Diesel,24,48,5,Pune,929524
Honda,BR-V 1.5 i-VTEC V CVT,2017,Non-Accidental,69174,17-May,1st Owner,AUTOMATIC,MH-43,MH,Petrol,17,48,5,Pune,764299
Toyota,YARIS J MT,2018,Non-Accidental,28635,18-Dec,1st Owner,MANUAL,MH-14,MH,Petrol,17.1,42,5,Pune,812499
Jeep,Compass 1.4 LIMITED PLUS AT,2020,Non-Accidental,52301,20-Aug,1st Owner,AUTOMATIC,MH-48,MH,Petrol,14.1,60,5,Pune,2002499
Renault,Captur PLATINE DUAL TONE,2019,Non-Accidental,24713,19-Nov,2nd Owner,MANUAL,MH-12,MH,Diesel,null,null,null,Pune,908999
Honda,BR-V 1.5 i-VTEC V CVT,2018,Non-Accidental,27469,18-Feb,2nd Owner,AUTOMATIC,MH-12,MH,Petrol,15.4,42,7,Pune,925499
Toyota,Glanza G CVT,2019,Non-Accidental,23595,19-Jul,2nd Owner,AUTOMATIC,MH-14,MH,Petrol,20,45,5,Pune,778399
Ford,Ecosport 1.5 TITANIUM PLUS TI VCT AT,2019,Non-Accidental,74217,19-Jan,1st Owner,AUTOMATIC,MH-12,MH,Petrol,14.8,52,5,Pune,917599
Toyota,YARIS G CVT,2018,Non-Accidental,56687,18-Jul,1st Owner,AUTOMATIC,MH-14,MH,Petrol,17.8,42,5,Pune,901599
Maruti,S Cross ZETA SHVS,2017,Non-Accidental,60034,N/A,1st Owner,MANUAL,MH-14,MH,Diesel,24,48,5,Pune,816299
Toyota,Glanza G CVT,2019,Non-Accidental,26428,19-Aug,1st Owner,AUTOMATIC,MH-12,MH,Petrol,20,45,5,Pune,802799
Hyundai,Tucson New 2WD AT GL DIESEL,2018,Non-Accidental,51318,18-Mar,2nd Owner,AUTOMATIC,MH-12,MH,Diesel,16.4,62,5,Pune,1761499
Jeep,Compass 1.4  LONGITUDE (O) AT,2019,Non-Accidental,30552,19-May,1st Owner,AUTOMATIC,MH-20,MH,Petrol,14.1,60,5,Pune,1781399
Toyota,Glanza V CVT,2021,Non-Accidental,40767,21-Feb,1st Owner,AUTOMATIC,MH-14,MH,Petrol,19.6,37,5,Pune,920199
Honda,WR-V 1.2 i-VTEC VX MT,2018,Non-Accidental,65547,18-Feb,1st Owner,MANUAL,MH-12,MH,Petrol,17.5,40,5,Pune,780899
Maruti,S Cross ZETA SHVS,2017,Non-Accidental,63197,17-Nov,2nd Owner,MANUAL,MH-14,MH,Diesel,24,48,5,Pune,918899
Mg,HECTOR SHARP DCT PETROL,2021,Non-Accidental,8832,21-Feb,1st Owner,AUTOMATIC,MH-12,MH,Petrol,14,60,5,Pune,1860049
Toyota,Glanza G CVT,2020,Non-Accidental,41783,20-Aug,1st Owner,AUTOMATIC,MH-12,MH,Petrol,22.9,37,5,Pune,839399
Toyota,Glanza V CVT,2021,Non-Accidental,14995,21-Mar,1st Owner,AUTOMATIC,MH-12,MH,Petrol,19.6,37,5,Pune,978399
Maruti,IGNIS DELTA 1.2 K12 AMT,2018,Non-Accidental,79455,18-Aug,1st Owner,AUTOMATIC,MH-12,MH,Petrol,20.9,32,5,Pune,551399
Maruti,S Cross DELTA SHVS,2017,Non-Accidental,74575,17-Nov,1st Owner,MANUAL,MH-12,MH,Diesel,24,48,5,Pune,823999
Hyundai,Creta 1.6 SX PLUS AUTO PETROL,2018,Non-Accidental,48817,18-May,1st Owner,AUTOMATIC,MH-14,MH,Petrol,15.3,60,5,Pune,1149599
Maruti,IGNIS DELTA 1.2 K12,2019,Non-Accidental,8433,19-Mar,1st Owner,MANUAL,MH-02,MH,Petrol,20.9,32,5,Pune,481599
Maruti,IGNIS DELTA 1.2 K12 AMT,2017,Non-Accidental,23321,17-May,1st Owner,AUTOMATIC,MH-14,MH,Petrol,20.9,32,5,Pune,546999
Tata,Hexa Varicor 400 XTA,2017,Non-Accidental,78583,17-Aug,2nd Owner,AUTOMATIC,MH-14,MH,Diesel,17.6,60,7,Pune,1206599
Honda,Amaze 1.2 V CVT I VTEC,2018,Non-Accidental,44088,18-Aug,1st Owner,AUTOMATIC,MH-12,MH,Petrol,18.3,35,5,Pune,707399
Hyundai,Elite i20 MAGNA 1.4 AT,2017,Non-Accidental,15530,17-Sep,1st Owner,AUTOMATIC,MH-12,MH,Petrol,N/A,45,5,Pune,null
Tata,NEXON XZA+ 1.5,2018,Non-Accidental,40301,18-Jul,2nd Owner,AUTOMATIC,MH-12,MH,Diesel,17.9,44,5,Pune,962499
Kia,SELTOS 1.4 GTX+ TURBO GDI PETROL AT,2020,Non-Accidental,28717,20-Jul,1st Owner,AUTOMATIC,MH-12,MH,Petrol,16.1,50,5,Pune,null
Skoda,Rapid STYLE 1.0TSI MT,2020,Non-Accidental,25683,20-Aug,1st Owner,MANUAL,MH-12,MH,Petrol,null,null,null,Pune,1145399
Maruti,Baleno ZETA 1.2 K12,2018,Non-Accidental,37364,18-Feb,1st Owner,MANUAL,MH-12,MH,Petrol,21.4,37,5,Pune,685199
Hyundai,VENUE 1.0L Turbo GDI SX MT,2019,Non-Accidental,53228,19-Jul,1st Owner,MANUAL,MH-46,MH,Petrol,18.2,45,5,Pune,857799
Maruti,Alto VXI,2019,Non-Accidental,41398,19-Sep,1st Owner,MANUAL,MH-16,MH,Petrol,24.7,35,5,Pune,null
Skoda,Rapid 1.0 AMBITION TSI AT,2020,Non-Accidental,9661,20-Dec,1st Owner,AUTOMATIC,MH-14,MH,Petrol,16.2,55,5,Pune,null
Maruti,Wagon R 1.0 LXI CNG,2015,Non-Accidental,64454,15-Jul,1st Owner,MANUAL,MH-12,MH,Petrol + CNG,26.6,35,5,Pune,null
Hyundai,Creta 1.6 CRDI SX PLUS AUTO,2018,Non-Accidental,74955,18-Mar,2nd Owner,AUTOMATIC,MH-12,MH,Diesel,17,60,5,Pune,null
Maruti,Baleno ALPHA 1.2K12  AT,2018,Non-Accidental,37096,18-Jun,1st Owner,AUTOMATIC,MH-14,MH,Petrol,null,null,null,Pune,null
Honda,City VX CVT PETROL,2017,Non-Accidental,58495,17-Mar,1st Owner,AUTOMATIC,MH-12,MH,Petrol,18,40,5,Pune,null
Maruti,Wagon R 1.0 VXI+ OPT. AMT,2018,Non-Accidental,80796,18-Aug,1st Owner,AUTOMATIC,MH-16,MH,Petrol,null,null,null,Pune,null
Maruti,Baleno DELTA 1.2 K12,2018,Non-Accidental,33631,18-Jan,2nd Owner,MANUAL,MH-12,MH,Petrol,21.4,37,5,Pune,636199
Honda,City ZX CVT,2017,Non-Accidental,57928,17-Oct,1st Owner,AUTOMATIC,MH-12,MH,Petrol,18,40,5,Pune,null
Hyundai,New Elantra 1.6 SX AT O,2017,Non-Accidental,66272,17-Aug,3rd Owner,AUTOMATIC,MH-12,MH,Diesel,22.5,50,5,Pune,null
Maruti,Alto 800 VXI (O),2018,Non-Accidental,48386,18-Apr,1st Owner,MANUAL,MH-12,MH,Petrol,24.7,35,5,Pune,null
Maruti,IGNIS DELTA 1.2 K12,2018,Non-Accidental,37431,18-Feb,1st Owner,MANUAL,MH-14,MH,Petrol,20.9,32,5,Pune,null
Mg,HECTOR SHARP DCT PETROL,2019,Non-Accidental,32029,19-Sep,1st Owner,AUTOMATIC,MH-12,MH,Petrol,14,60,5,Pune,null
Maruti,Wagon R 1.0 LXI CNG,2017,Non-Accidental,36378,17-Jun,1st Owner,MANUAL,MH-12,MH,Petrol + CNG,26.6,35,5,Pune,null
Maruti,Wagon R 1.0 LXI CNG,2017,Non-Accidental,74076,17-Jul,1st Owner,MANUAL,MH-12,MH,Petrol + CNG,26.6,35,5,Pune,null
Hyundai,VENUE 1.0 Turbo GDI DCT SX+DT,2020,Non-Accidental,16768,20-Mar,1st Owner,AUTOMATIC,MH-12,MH,Petrol,18.2,45,5,Pune,null
Honda,City ZX CVT,2018,Non-Accidental,26379,18-May,2nd Owner,AUTOMATIC,MH-12,MH,Petrol,18,40,5,Pune,null
Maruti,Alto VXI,2019,Non-Accidental,31386,19-Oct,1st Owner,MANUAL,MH-12,MH,Petrol,24.7,35,5,Pune,null
Ford,Ecosport 1.5TITANIUM TDCI,2018,Non-Accidental,54159,18-Mar,1st Owner,MANUAL,MH-12,MH,Diesel,23,52,5,Pune,null
Kia,SELTOS 1.4 GTX+ TURBO GDI PETROL AT,2020,Non-Accidental,11433,20-Feb,1st Owner,AUTOMATIC,MH-12,MH,Petrol,16.1,50,5,Pune,1830099
Hyundai,Creta 1.6 CRDI SX PLUS AUTO,2017,Non-Accidental,95045,17-Jun,1st Owner,AUTOMATIC,MH-02,MH,Diesel,17,60,5,Pune,null
Hyundai,Creta 1.6 CRDI SX PLUS AUTO,2017,Non-Accidental,26569,17-Nov,1st Owner,AUTOMATIC,MH-04,MH,Diesel,17,60,5,Pune,1202899
Maruti,Alto LXI OPT,2022,Non-Accidental,4033,22-Mar,1st Owner,MANUAL,MH-14,MH,Petrol,null,null,null,Pune,null
Hyundai,GRAND I10 NIOS SPORTZ CNG MT,2020,Non-Accidental,54849,20-Jul,1st Owner,MANUAL,MH-12,MH,Petrol + CNG,null,null,null,Pune,null
Toyota,YARIS J CVT,2020,Non-Accidental,11941,20-Jun,1st Owner,AUTOMATIC,MH-01,MH,Petrol,17.8,42,5,Pune,null
Maruti,Ciaz 1.5 ZETA VVT SHVS AT,2020,Non-Accidental,19691,20-Jan,1st Owner,AUTOMATIC,MH-14,MH,Petrol,null,null,null,Pune,null
Ford,Ecosport 1.5 TITANIUM PLUS TI VCT AT,2019,Non-Accidental,13713,19-May,1st Owner,AUTOMATIC,MH-12,MH,Petrol,14.8,52,5,Pune,null
Maruti,Ciaz ALPHA 1.5 MT VTVT SHVS,2021,Non-Accidental,5956,21-Sep,1st Owner,MANUAL,MH-12,MH,Petrol,18.6,48,5,Pune,1087399
Maruti,S PRESSO VXI CNG,2020,Non-Accidental,35126,20-Nov,2nd Owner,MANUAL,MH-12,MH,Petrol + CNG,31.2,55,4,Pune,null
Maruti,Wagon R 1.0 LXI CNG,2015,Non-Accidental,87336,15-Mar,1st Owner,MANUAL,MH-12,MH,Petrol + CNG,26.6,35,5,Pune,404239
Honda,City V CVT,2018,Non-Accidental,13628,18-May,1st Owner,AUTOMATIC,MH-14,MH,Petrol,18,40,5,Pune,1017099
Maruti,Wagon R 1.0 LXI CNG,2017,Non-Accidental,72638,17-Apr,1st Owner,MANUAL,MH-12,MH,Petrol + CNG,26.6,35,5,Pune,489049
Tata,Hexa Varicor 400 XTA,2019,Non-Accidental,37564,19-Jan,1st Owner,AUTOMATIC,MH-12,MH,Diesel,17.6,60,7,Pune,null
Maruti,Wagon R 1.0 LXI CNG,2017,Non-Accidental,36980,17-Sep,1st Owner,MANUAL,MH-12,MH,Petrol + CNG,26.6,35,5,Pune,500099
Hyundai,i20 Active 1.2 S,2015,Non-Accidental,51277,15-Jun,2nd Owner,MANUAL,MH-12,MH,Petrol,17.2,45,5,Pune,null
Ford,Figo Aspire 1.2 TITANIUM+ PETROL,2019,Non-Accidental,23688,19-Aug,1st Owner,MANUAL,MH-12,MH,Petrol,18.2,42,5,Pune,707699
Maruti,Vitara Brezza ZDI + AMT,2018,Non-Accidental,89877,18-Dec,1st Owner,AUTOMATIC,MH-12,MH,Diesel,24.3,48,5,Pune,null
Maruti,Baleno ALPHA CVT PETROL 1.2,2020,Non-Accidental,33670,20-Nov,1st Owner,NA,MH-12,MH,Petrol,null,null,null,Pune,868599
Mg,HECTOR SHARP DCT PETROL,2019,Non-Accidental,37628,19-Nov,1st Owner,AUTOMATIC,MH-12,MH,Petrol,14,60,5,Pune,null
Tata,NEXON XMA 1.5,2021,Non-Accidental,31536,21-Feb,1st Owner,MANUAL,MH-14,MH,Diesel,null,null,null,Pune,1086899
Toyota,YARIS J CVT,2019,Non-Accidental,18510,19-Nov,1st Owner,AUTOMATIC,MH-12,MH,Petrol,17.8,42,5,Pune,null
Maruti,Wagon R 1.0 VXI,2015,Non-Accidental,42161,15-Jul,1st Owner,MANUAL,MH-12,MH,Petrol,20.5,35,5,Pune,410599
Ford,Figo Aspire TREND PLUS CNG,2019,Non-Accidental,47681,19-Apr,1st Owner,MANUAL,MH-05,MH,Petrol + CNG,null,null,null,Pune,null
Skoda,Rapid 1.0 AMBITION TSI AT,2020,Non-Accidental,7024,20-Dec,2nd Owner,AUTOMATIC,MH-12,MH,Petrol,16.2,55,5,Pune,1070199
Hyundai,Grand i10 MAGNA 1.2 VTVT,2019,Non-Accidental,23345,19-Aug,1st Owner,MANUAL,MH-14,MH,Petrol,20,43,5,Pune,null
Hyundai,Grand i10 ASTA AT 1.2 KAPPA VTVT,2016,Non-Accidental,58184,16-Feb,1st Owner,AUTOMATIC,MH-43,MH,Petrol,17,43,5,Pune,572599
Maruti,S PRESSO VXI CNG,2021,Non-Accidental,50390,21-Oct,1st Owner,MANUAL,MH-04,MH,Petrol + CNG,31.2,55,4,Pune,null
Maruti,S Cross ZETA 1.3 SHVS,2018,Non-Accidental,40848,18-Jul,1st Owner,MANUAL,MH-14,MH,Diesel,24,48,5,Pune,null
Maruti,Alto LXI CNG,2020,Non-Accidental,35313,20-Aug,1st Owner,MANUAL,MH-12,MH,Petrol + CNG,22.1,35,5,Pune,null
Kia,SELTOS 1.4 GTX+ TURBO GDI PETROL AT,2021,Non-Accidental,5197,21-Jun,1st Owner,AUTOMATIC,MH-14,MH,Petrol,null,null,null,Pune,null
Maruti,Alto 800 LXI,2018,Non-Accidental,54875,18-Mar,1st Owner,MANUAL,MH-12,MH,Petrol,24.7,35,5,Pune,null
Jeep,Compass LIMITED 1.4 AT,2018,Non-Accidental,46895,18-Sep,1st Owner,AUTOMATIC,MH-02,MH,Petrol,14.1,60,5,Pune,1428299
Hyundai,Grand i10 SPORTZ 1.2 KAPPA VTVT,2017,Non-Accidental,41708,17-Sep,1st Owner,MANUAL,MH-12,MH,Petrol,19.8,43,5,Pune,null
Maruti,Wagon R 1.0 VXI,2015,Non-Accidental,55847,15-Apr,1st Owner,MANUAL,MH-12,MH,Petrol,20.5,35,5,Pune,406999
Tata,ALTROZ XZ+ 1.2 I- TURBO,2021,Non-Accidental,11440,21-Jun,1st Owner,NA,MH-12,MH,Petrol,null,null,null,Pune,null
Maruti,Wagon R 1.0 VXI,2018,Non-Accidental,10833,18-Jul,1st Owner,MANUAL,MH-14,MH,Petrol,20.5,35,5,Pune,486999
Hyundai,Creta 1.6 CRDI SX PLUS AUTO,2017,Non-Accidental,67600,17-Oct,1st Owner,AUTOMATIC,MH-12,MH,Diesel,17,60,5,Pune,null
Honda,Jazz 1.2 VX AT,2018,Non-Accidental,64526,18-Oct,1st Owner,AUTOMATIC,MH-04,MH,Petrol,18.7,40,5,Pune,709899
Hyundai,Creta 1.6 SX PLUS AUTO PETROL,2017,Non-Accidental,48233,17-Jul,1st Owner,AUTOMATIC,MH-48,MH,Petrol,15.3,60,5,Pune,null
Maruti,Ciaz SIGMA 1.4 VVT,2017,Non-Accidental,43152,17-Oct,1st Owner,MANUAL,MH-12,MH,Petrol,20.7,43,5,Pune,746799
Maruti,IGNIS DELTA 1.2 K12,2018,Non-Accidental,33283,18-Jun,1st Owner,MANUAL,MH-04,MH,Petrol,20.9,32,5,Pune,null
Volkswagen,Vento HIGHLINE TDI AT,2016,Non-Accidental,73448,16-Apr,1st Owner,AUTOMATIC,MH-14,MH,Diesel,20.6,55,5,Pune,777699
Maruti,Alto 800 LXI CNG,2019,Non-Accidental,39944,19-Feb,1st Owner,MANUAL,MH-12,MH,Petrol + CNG,33.4,60,4,Pune,null
Ford,Ecosport 1.5 TITANIUM PLUS TI VCT AT,2020,Non-Accidental,18548,20-Feb,1st Owner,AUTOMATIC,MH-14,MH,Petrol,14.8,52,5,Pune,1139399
Maruti,Wagon R 1.0 LXI CNG,2013,Non-Accidental,68345,13-Jun,2nd Owner,MANUAL,MH-46,MH,Petrol + CNG,N/A,35,5,Pune,null
Maruti,Vitara Brezza ZDI PLUS DUAL TONE,2018,Non-Accidental,88024,18-Mar,2nd Owner,MANUAL,MH-14,MH,Diesel,24.3,48,5,Pune,866399
Hyundai,Grand i10 ASTA 1.2 (O) VTVT,2016,Non-Accidental,39930,16-Jul,1st Owner,MANUAL,MH-12,MH,Petrol,17,43,5,Pune,null
Hyundai,Grand i10 MAGNA 1.2 KAPPA VTVT,2018,Non-Accidental,20130,18-Jan,1st Owner,MANUAL,MH-14,MH,Petrol,18.9,43,5,Pune,568599
Hyundai,NEW SANTRO 1.1 SPORTZ MT CNG,2019,Non-Accidental,57588,19-May,1st Owner,NA,MH-46,MH,Petrol + CNG,30,60,5,Pune,null
Hyundai,NEW SANTRO 1.1 SPORTZ MT CNG,2018,Non-Accidental,73215,18-Nov,2nd Owner,NA,MH-12,MH,Petrol + CNG,30,60,5,Pune,523599
Maruti,XL6 ALPHA SHVS  MT,2019,Non-Accidental,32576,19-Oct,2nd Owner,MANUAL,MH-14,MH,Petrol,null,null,null,Pune,null
Maruti,Alto VXI,2021,Non-Accidental,7285,21-Aug,1st Owner,MANUAL,MH-12,MH,Petrol,22.1,35,5,Pune,456799
Hyundai,NEW SANTRO 1.1 SPORTZ MT CNG,2019,Non-Accidental,41659,19-Aug,1st Owner,NA,MH-12,MH,Petrol + CNG,30,60,5,Pune,null
Maruti,Baleno DELTA 1.2 K12,2018,Non-Accidental,61784,18-Mar,1st Owner,MANUAL,MH-43,MH,Petrol,21.4,37,5,Pune,603899
